picUrl,priceRange1,productId,minQuantity,name,subCategoryType,category,date,quantity,priceRange2,price,warrentyType,description,priceRange3,company,priceRange4,subCategory,discount,priceRange5
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FANGLE%20GRINDER%20%2FANGLE%20GRINDER%20CAMRON%20PRO_67536bd8-8a44-49bd-80ab-a7ca316692b2.png?alt=media&token=16b799b3-8b26-4c92-b0b2-3d2e6d1b5e8b,"[1.0, 100.0, 3799.0]",67536bd8-8a44-49bd-80ab-a7ca316692b2,1.0,ANGLE GRINDER CAMRON PRO,ANGLE GRINDER ,MACHINERY  & Tools,2022-01-07 06:30:05.683000+00:00,100.0,"[0.0, 0.0, 0.0]",3799.0,No Guarantee,"220v/50hz
950
11000rpm","[0.0, 0.0, 0.0]",Made in India,"[0.0, 0.0, 0.0]",POWER TOOLS,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/SWITCH%20AND%20SOCKETS%2FSwift%20gold%2FGANG%20SWITCH%2F4%20Gang%201%20Way%2010A%20switch%20_e3af08c7-d810-4573-8545-c56922d1fd7b.png?alt=media&token=98674e88-46fb-4a58-96ca-8108b22b8127,"[1.0, 10.0, 185.0]",e3af08c7-d810-4573-8545-c56922d1fd7b,1.0,4 Gang 1 Way 10A switch ,GANG SWITCH,SWITCH AND SOCKETS,2022-01-04 08:50:06.632000+00:00,100.0,"[0.0, 0.0, 0.0]",185.0,No Guarantee,"Colour white
20 Year GUARANTEE
High Efficiency 
Modern  Design 
safety and Accurancy","[0.0, 0.0, 0.0]",Swift gold,"[0.0, 0.0, 0.0]",Swift gold,40.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FMarble%20Cutter%20%2FBOSCH%20MARBLE%20CUTTER_b3537395-a1b7-4129-abe0-104e6033505c.png?alt=media&token=d3b5a395-7fda-47d9-983a-36da6686118c,"[1.0, 50.0, 3999.0]",b3537395-a1b7-4129-abe0-104e6033505c,1.0,BOSCH MARBLE CUTTER,Marble Cutter ,MACHINERY  & Tools,2022-01-07 11:12:17.982000+00:00,100.0,"[0.0, 0.0, 0.0]",3999.0,No Guarantee,"1350W
10000RPM","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F500%20KVA%20Transformer%20_2c2f222b-09e8-430c-a370-2f63f5509dcc.png?alt=media&token=3ded9aaf-b74c-4751-b824-19c635d10f24,"[1.0, 100.0, 1390000.0]",2c2f222b-09e8-430c-a370-2f63f5509dcc,1.0,500 KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:51:01.529000+00:00,100.0,"[0.0, 0.0, 0.0]",13900000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F1000%20KVA%20Transformer%20_b32ba252-58bf-4f81-a3e4-3d0ffcb23d3c.png?alt=media&token=e362848c-e9ea-48d6-9afc-6bb2d00ab656,"[1.0, 100.0, 2285000.0]",b32ba252-58bf-4f81-a3e4-3d0ffcb23d3c,1.0,1000 KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:56:19.323000+00:00,100.0,"[0.0, 0.0, 0.0]",2285000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FLED%20BULB%2FSIGNATURE%20LED%20BULB%2F12W%20led%20bulb%20B22%2FE27%20_42a8c17a-5034-4fe2-bdfd-010602d37b30.png?alt=media&token=75290c00-403e-4c71-a966-8c8aec27a1a2,"[1.0, 5.0, 325.0]",42a8c17a-5034-4fe2-bdfd-010602d37b30,1.0,12W led bulb B22/E27 ,SIGNATURE LED BULB,LIGHT ITEMS ,2021-12-20 08:05:19.930000+00:00,1000.0,"[6.0, 10.0, 300.0]",325.0,2 Years,"Light Effect 100Lm
Led chip 2835
Voltag 85-265v
life :-50000
Luminous Flux :- 450-500lm","[11.0, 20.0, 260.0]",SIGNATURE PREMIUM LED LIGHT,"[21.0, 50.0, 200.0]",LED BULB,25.0,"[51.0, 100.0, 144.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FLED%20BULB%2FSIGNATURE%20LED%20BULB%2F15W%20led%20bulb%20B22%2FE27%20_4144a545-6ab4-4ca2-82d2-3a1d09ea3755.png?alt=media&token=8ca662ee-5c54-4d29-8a5c-885809d76e11,"[1.0, 5.0, 350.0]",4144a545-6ab4-4ca2-82d2-3a1d09ea3755,1.0,15W led bulb B22/E27 ,SIGNATURE LED BULB,LIGHT ITEMS ,2021-12-20 08:07:12.730000+00:00,1000.0,"[6.0, 10.0, 325.0]",350.0,2 Years,"Light Effect 100Lm
Led chip 2835
Voltag 85-265v
life :-50000
Luminous Flux :-450-500lm","[11.0, 20.0, 275.0]",SIGNATURE PREMIUM LED LIGHT,"[21.0, 50.0, 200.0]",LED BULB,25.0,"[51.0, 100.0, 158.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F300KVA%20Transformer%20_76df3bcb-0492-43ac-848e-f3d1367b4423.png?alt=media&token=2f9f4bac-ca60-4eb2-ae42-e8d9ccc2a018,"[1.0, 100.0, 1190000.0]",76df3bcb-0492-43ac-848e-f3d1367b4423,1.0,300KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:48:15.649000+00:00,100.0,"[0.0, 0.0, 0.0]",1190000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F400KVA%20Transformer%20_bd2a891a-755c-49d5-89d8-5bee8c9b729d.png?alt=media&token=d0f169d5-08b2-48fe-8e8a-a7273b8e956e,"[1.0, 100.0, 1270000.0]",bd2a891a-755c-49d5-89d8-5bee8c9b729d,1.0,400KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:49:47.486000+00:00,100.0,"[0.0, 0.0, 0.0]",1270000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/METAL%20BOX%20AND%20DISTRIBUTION%20BOX%2FDB%20BOX(Distribution%20Box)%2FHeavy%20Metal%20DB%20box%2F6%20way%20Db%20Box_a73d6582-3ee8-422d-882c-8aeffb929236.png?alt=media&token=b80fc7d1-8525-4a77-a8a0-3f9335222b34,"[1.0, 10.0, 760.0]",a73d6582-3ee8-422d-882c-8aeffb929236,1.0,6 way Db Box,Heavy Metal DB box,METAL BOX AND DISTRIBUTION BOX,2022-01-04 10:15:05.261000+00:00,100.0,"[0.0, 0.0, 0.0]",760.0,No Guarantee,240/440volt,"[0.0, 0.0, 0.0]",MILLBORN,"[0.0, 0.0, 0.0]",DB BOX(Distribution Box),20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/METAL%20BOX%20AND%20DISTRIBUTION%20BOX%2FDB%20BOX(Distribution%20Box)%2FHeavy%20Metal%20DB%20box%2F10%20way%20Db%20box_1614fcb7-959e-49be-a52c-3e84ad0f471a.png?alt=media&token=28a25c40-f05a-4595-8123-23339fd7a34a,"[1.0, 10.0, 980.0]",1614fcb7-959e-49be-a52c-3e84ad0f471a,1.0,10 way Db box,Heavy Metal DB box,METAL BOX AND DISTRIBUTION BOX,2022-01-04 10:18:44.392000+00:00,100.0,"[0.0, 0.0, 0.0]",980.0,No Guarantee,240/440volt,"[0.0, 0.0, 0.0]",MILLBORN,"[0.0, 0.0, 0.0]",DB BOX(Distribution Box),20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FMarble%20Cutter%20%2FBosch%20Marble%20Cutter_7588e3f2-aea5-4d7c-b48a-495e1805b7ee.png?alt=media&token=a9e0c175-1e24-4293-a0e5-c8fc67475081,"[1.0, 50.0, 9500.0]",7588e3f2-aea5-4d7c-b48a-495e1805b7ee,1.0,Bosch Marble Cutter,Marble Cutter ,MACHINERY  & Tools,2022-01-07 11:09:11.519000+00:00,50.0,"[0.0, 0.0, 0.0]",9500.0,No Guarantee,"1200W
1200RPM","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FDrill%20Machine%2FCamron%2010mm%20Dril_40f04f6c-c31e-4f72-b661-503b8495623a.png?alt=media&token=a7ddc400-3a43-48bf-844b-29842fb50581,"[1.0, 100.0, 1999.0]",40f04f6c-c31e-4f72-b661-503b8495623a,1.0,Camron 10mm Dril,Drill Machine,MACHINERY  & Tools,2022-01-07 11:29:50.043000+00:00,100.0,"[0.0, 0.0, 0.0]",1999.0,No Guarantee,"450W
0-4500RPM","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/SWITCH%20AND%20SOCKETS%2FSwift%20gold%2FGANG%20SWITCH%2F1%20Gang%201%20Way%20%2010%20A%20Switch%20_c435c3ef-bb6e-471d-90a7-2cf212217689.png?alt=media&token=e309c195-109f-41c8-a28f-824da86cf42c,"[1.0, 10.0, 75.0]",c435c3ef-bb6e-471d-90a7-2cf212217689,1.0,1 Gang 1 Way  10 A Switch ,GANG SWITCH,SWITCH AND SOCKETS,2022-01-04 08:44:17.868000+00:00,100.0,"[0.0, 0.0, 0.0]",75.0,No Guarantee,"Colour white
20 Year GUARANTEE
High Efficiency 
Modern  Design 
safety and Accurancy","[0.0, 0.0, 0.0]",Swift gold,"[0.0, 0.0, 0.0]",Swift gold,40.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/METAL%20BOX%20AND%20DISTRIBUTION%20BOX%2FDB%20BOX(Distribution%20Box)%2FHeavy%20Metal%20DB%20box%2F16%20way%20Db%20Bix_b7991dce-93b1-437c-8e73-7a1625b25c40.png?alt=media&token=cae979ac-d56d-4d78-b749-9aa9672eca98,"[1.0, 10.0, 1385.0]",b7991dce-93b1-437c-8e73-7a1625b25c40,1.0,16 way Db Bix,Heavy Metal DB box,METAL BOX AND DISTRIBUTION BOX,2022-01-04 10:29:09.024000+00:00,100.0,"[0.0, 0.0, 0.0]",1385.0,No Guarantee,240/440volt,"[0.0, 0.0, 0.0]",MILLBORN,"[0.0, 0.0, 0.0]",DB BOX(Distribution Box),20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F150KVA%20Transformer%20_24afd5d9-c976-43af-9822-94f4ec708f62.png?alt=media&token=0b412fa8-c846-4869-8532-94b2706f4da3,"[1.0, 100.0, 770000.0]",24afd5d9-c976-43af-9822-94f4ec708f62,1.0,150KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:43:34.900000+00:00,100.0,"[0.0, 0.0, 0.0]",770000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F800KVA%20Transformer%20_9373b4f2-a0c3-471a-bebc-0d3a9e0c19c9.png?alt=media&token=21cf982b-a16d-425c-9a2c-fd9222522c01,"[1.0, 100.0, 1990000.0]",9373b4f2-a0c3-471a-bebc-0d3a9e0c19c9,1.0,800KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:53:41.260000+00:00,100.0,"[0.0, 0.0, 0.0]",1990000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FDrill%20Machine%2Flibite%20Battery%20Drill_5f0c0c4e-ea2a-4a54-a988-80f9fc5b7440.png?alt=media&token=c78a8e67-398e-481e-beed-2cd36e1b9e4a,"[1.0, 100.0, 3499.0]",5f0c0c4e-ea2a-4a54-a988-80f9fc5b7440,1.0,libite Battery Drill,Drill Machine,MACHINERY  & Tools,2022-01-07 11:43:22.444000+00:00,100.0,"[0.0, 0.0, 0.0]",3499.0,No Guarantee,12V Dc with battery and a charger ,"[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/INDUSTRAIL%2FTransformer%20%2FNEPAL%20TRANSFORMER%20%2F200%20KVA%20Transformer%20_d3b2a91b-48de-45fa-8f31-00f5b167f13b.png?alt=media&token=cb04afa6-eef3-430c-a8b1-d79924e0a381,"[1.0, 100.0, 970000.0]",d3b2a91b-48de-45fa-8f31-00f5b167f13b,1.0,200 KVA Transformer ,NEPAL TRANSFORMER ,INDUSTRAIL,2022-01-11 10:44:49.296000+00:00,100.0,"[0.0, 0.0, 0.0]",970000.0,5 Years,Step Down Transformer ,"[0.0, 0.0, 0.0]",NEPAL TRANSFORMER ,"[0.0, 0.0, 0.0]",Transformer ,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FDrill%20Machine%2FSeltron%2013mm%20Drill%20_392c9fa2-40b7-48e8-8217-d699ffd900db.png?alt=media&token=703fd433-5268-4a52-b913-8df3df946761,"[1.0, 50.0, 3299.0]",392c9fa2-40b7-48e8-8217-d699ffd900db,1.0,Seltron 13mm Drill ,Drill Machine,MACHINERY  & Tools,2022-01-07 11:25:35.898000+00:00,100.0,"[0.0, 0.0, 0.0]",3299.0,No Guarantee,"750W 
0-3000Rpm","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,15.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FMarble%20Cutter%20%2FDCA%20MARBLE%20CUTTER_2023ae28-8947-4bb9-b476-33c23e31c9d3.png?alt=media&token=e6292179-a8c0-4dfe-a640-4dc636b899d0,"[1.0, 50.0, 5499.0]",2023ae28-8947-4bb9-b476-33c23e31c9d3,1.0,DCA MARBLE CUTTER,Marble Cutter ,MACHINERY  & Tools,2022-01-07 11:16:42.075000+00:00,100.0,"[0.0, 0.0, 0.0]",5499.0,No Guarantee,"1240W
1300RPM","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,10.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FTUBE%20LIGHT%2FSWIFT%20GOLD%20TUBE%20LIGHT%2F18%20watt%20led%20tube%20light_04620d56-bf28-4315-aaa0-1c1247e1eb3c.png?alt=media&token=e4dcf364-f38c-4eda-922d-35904d2585cb,"[1.0, 10.0, 185.0]",04620d56-bf28-4315-aaa0-1c1247e1eb3c,1.0,18 watt led tube light,SWIFT GOLD TUBE LIGHT,LIGHT ITEMS ,2022-01-04 10:57:32.058000+00:00,1000.0,"[0.0, 0.0, 0.0]",185.0,1 Year,"1200 lumen
6500k
165 -265 volt","[0.0, 0.0, 0.0]",Swift gold,"[0.0, 0.0, 0.0]",TUBE LIGHT,20.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/LIGHT%20ITEMS%20%2FLED%20BULB%2FWega%2F5W%20Led%20Bulb%20B22%2FE27_25e9c218-44a1-4f82-b903-633f60f966a4.png?alt=media&token=dbfa8ce6-c4e4-4e4a-88d9-daf1a8a745bf,"[1.0, 5.0, 100.0]",25e9c218-44a1-4f82-b903-633f60f966a4,1.0,5W Led Bulb B22/E27,Wega,LIGHT ITEMS ,2021-12-20 07:05:09.333000+00:00,1000.0,"[6.0, 10.0, 95.0]",100.0,1 Year,"Light Effect 100Lm
Led chip 2835
Voltag 100-240v
life :-25000
Luminous Flux :-450-500lm","[11.0, 100.0, 88.2]",WEGA,"[0.0, 0.0, 0.0]",LED BULB,25.0,"[0.0, 0.0, 0.0]"
https://firebasestorage.googleapis.com/v0/b/etech-1234.appspot.com/o/MACHINERY%20%20%26%20Tools%2FPOWER%20TOOLS%2FANGLE%20GRINDER%20%2FAngle%20Grinder%20DCA_ee80967d-53c8-4413-b440-c61757724681.png?alt=media&token=480109fd-29cf-4658-add2-edefdbe06516,"[1.0, 100.0, 3499.0]",ee80967d-53c8-4413-b440-c61757724681,1.0,Angle Grinder DCA,ANGLE GRINDER ,MACHINERY  & Tools,2022-01-07 06:39:12.402000+00:00,100.0,"[0.0, 0.0, 0.0]",3499.0,No Guarantee,"220v/50hz
560W
13000rpm","[0.0, 0.0, 0.0]",Made in China ,"[0.0, 0.0, 0.0]",POWER TOOLS,20.0,"[0.0, 0.0, 0.0]"
